name	description	cloneof	year	players	ctrltype	manufacturer	category	orientation	ctrltype2	joyways	buttons
scross	Stadium Cross		1992	2	8 way	SEGA	arcade	horizontal	paddle+pedal		3
scudp	Scud Racer		1996	1	analog	SEGA	arcade	horizontal			
sdi	Strategic Defense Initiative		1987	2	trackball	SEGA	arcade	horizontal	joy+trackball	8	1
sdodgeb	Super Dodge Ball		1996	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
searchar	SAR: Search & Rescue		1989	2	8 way	SNK	arcade	vertical	joy+positional	8	2
sectionz	Section Z		1985	2	8 way	Capcom	arcade	horizontal	joy	8	2
seganinj	Sega Ninja		1985	2	8 way	SEGA	arcade	horizontal	joy	8	3
sengekis	Sengeki Striker		1997	2	8 way	Kaneko / Warashi	arcade	vertical	joy	8	3
sengoku	Sengoku 1 Denshou		1991	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
sengoku2	Sengoku 2 Denshou 2		1993	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
sengoku3	Sengoku 3		2001	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
sexyparo	Sexy Parodius		1996	4	8 way	Konami	arcade	horizontal	joy	8	3
sf	Street Fighter 1		1987	2	8 way	Capcom	arcade	horizontal	joy	8	6
sf2	Street Fighter 2 1st : The World Warrior		1991	2	8 way	Capcom	arcade	horizontal	joy	8	6
sf2ce	Street Fighter 2 2nd : Champion Edition		1992	2	8 way	Capcom	arcade	horizontal	joy	8	6
sf2hf	Street Fighter 2 3rd : Hyper Fighting		1992	2	8 way	Capcom	arcade	horizontal	joy	8	6
sfa	Street Fighter 2 Alpha 1: Warriors' Dreams		1995	2	8 way	Capcom	arcade	horizontal	joy	8	6
sfa2	Street Fighter 2 Alpha 2		1996	2	8 way	Capcom	arcade	horizontal	joy	8	6
sfa3	Street Fighter 2 Alpha 3		1998	2	8 way	Capcom	arcade	horizontal	joy	8	6
sfa3ud	Street Fighter 2 Alpha 3 Mix	sfa3	1998	2	8 way	Capcom	arcade	horizontal	joy	8	6
sfex	Street Fighter 5 EX1		1996	2	8 way	Capcom	arcade	horizontal	joy	8	6
sfex2	Street Fighter 5 EX2		1998	2	8 way	Capcom	arcade	horizontal	joy	8	6
sfiii2n	Street Fighter 3 III 2nd Impact: Giant Attack	sfiii2	1997	2	8 way	Capcom	arcade	horizontal	joy	8	6
sfiii3n	Street Fighter 3 III 3rd Strike: Fight for the Future	sfiii3	1999	2	8 way	Capcom	arcade	horizontal	joy	8	6
